Raw file	experiment	batch1	run_order
20170922_Rachid_Colon_M#18	09_Colon_M#18	B_09	18
20170922_Rachid_Colon_M#19	09_Colon_M#19	B_09	19
20170922_Rachid_Colon_M#20	09_Colon_M#20	B_09	20
20170922_Rachid_Colon_M#21	09_Colon_M#21	B_09	21
20170922_Rachid_Colon_M#22	09_Colon_M#22	B_09	22
20170922_Rachid_Colon_M#23	09_Colon_M#23	B_09	23
20170922_Rachid_Colon_M#24	09_Colon_M#24	B_09	24
20170922_Rachid_Colon_M#25	09_Colon_M#25	B_09	25
20170922_Rachid_Colon_M#26	09_Colon_M#26	B_09	26
20170922_Rachid_Colon_M#27	09_Colon_M#27	B_09	27
20170922_Rachid_Colon_M#28	09_Colon_M#28	B_09	28
20170922_Rachid_Colon_M#29	09_Colon_M#29	B_09	29
20170922_Rachid_Colon_M#30	09_Colon_M#30	B_09	30
20170922_Rachid_Colon_M#31	09_Colon_M#31	B_09	31
20170922_Rachid_Colon_M#32	09_Colon_M#32	B_09	32
20170922_Rachid_Colon_M#33	09_Colon_M#33	B_09	33
20170922_Rachid_Colon_M#34	09_Colon_M#34	B_09	34
20170922_Rachid_Colon_M#35	09_Colon_M#35	B_09	35
20170922_Rachid_Colon_M#36	09_Colon_M#36	B_09	36
20170922_Rachid_Colon_M#37	09_Colon_M#37	B_09	37
20170922_Rachid_Colon_M#38	09_Colon_M#38	B_09	38
20170922_Rachid_Colon_M#39	09_Colon_M#39	B_09	39
20170922_Rachid_Colon_M#40	09_Colon_M#40	B_09	40
20170922_Rachid_Colon_M#41	09_Colon_M#41	B_09	41
20170922_Rachid_Colon_M#42	09_Colon_M#42	B_09	42
20170922_Rachid_Colon_M#43	09_Colon_M#43	B_09	43
20170922_Rachid_Colon_M#44	09_Colon_M#44	B_09	44
20170922_Rachid_Colon_M#45	09_Colon_M#45	B_09	45
20170922_Rachid_Colon_M#46	09_Colon_M#46	B_09	46
20170922_Rachid_Colon_M#47	09_Colon_M#47	B_09	47
20170922_Rachid_Colon_M#48	09_Colon_M#48	B_09	48
20170922_Rachid_Colon_M#49	09_Colon_M#49	B_09	49
20170922_Rachid_Colon_M#50	09_Colon_M#50	B_09	50
20170922_Rachid_Colon_M#51	09_Colon_M#51	B_09	51
20170922_Rachid_Colon_M#52	09_Colon_M#52	B_09	52
20170922_Rachid_Colon_M#53	09_Colon_M#53	B_09	53
20170922_Rachid_Colon_M#54	09_Colon_M#54	B_09	54
20170922_Rachid_Colon_M#55	09_Colon_M#55	B_09	55
20170922_Rachid_Colon_M#56	09_Colon_M#56	B_09	56
20170922_Rachid_Colon_M#57	09_Colon_M#57	B_09	57
20170922_Rachid_Colon_M#58	09_Colon_M#58	B_09	58
20170922_Rachid_Colon_M#59	09_Colon_M#59	B_09	59
20170922_Rachid_Colon_M#60	09_Colon_M#60	B_09	60
20170922_Rachid_Colon_M#61	09_Colon_M#61	B_09	61
20170922_Rachid_Colon_M#64	09_Colon_M#64	B_09	62
20170922_Rachid_Colon_M#65	09_Colon_M#65	B_09	63
20170922_Rachid_Colon_M#66	09_Colon_M#66	B_09	64
20170922_Rachid_Colon_M#67	09_Colon_M#67	B_09	65
20170922_Rachid_Colon_M#68	09_Colon_M#68	B_09	66
20170922_Rachid_Colon_M#69	09_Colon_M#69	B_09	67
20170922_Rachid_Colon_M#70	09_Colon_M#70	B_09	68
20170922_Rachid_Colon_M#71	09_Colon_M#71	B_09	69
20170922_Rachid_Colon_M#72	09_Colon_M#72	B_09	70
20170922_Rachid_Colon_M#73	09_Colon_M#73	B_09	71
20170922_Rachid_Colon_M#74	09_Colon_M#74	B_09	72
20170922_Rachid_Colon_M#75	09_Colon_M#75	B_09	73
20170922_Rachid_Colon_M#76	09_Colon_M#76	B_09	74
20170922_Rachid_Colon_M#77	09_Colon_M#77	B_09	75
20170922_Rachid_Colon_M#78	09_Colon_M#78	B_09	76
20170922_Rachid_Colon_M#79	09_Colon_M#79	B_09	77
20170922_Rachid_Colon_M#80	09_Colon_M#80	B_09	78
20171206_Rachid_Colon_M#01	12_Colon_M#01	B_12	79
20171206_Rachid_Colon_M#02	12_Colon_M#02	B_12	80
20171206_Rachid_Colon_M#03	12_Colon_M#03	B_12	81
20171206_Rachid_Colon_M#04	12_Colon_M#04	B_12	82
20171206_Rachid_Colon_M#06	12_Colon_M#06	B_12	83
20171206_Rachid_Colon_M#07	12_Colon_M#07	B_12	84
20171206_Rachid_Colon_M#10	12_Colon_M#10	B_12	85
20171206_Rachid_Colon_M#14	12_Colon_M#14	B_12	86
20171206_Rachid_Colon_M#16	12_Colon_M#16	B_12	87
20171206_Rachid_Colon_M#18	12_Colon_M#18	B_12	88
20171206_Rachid_Colon_M#19	12_Colon_M#19	B_12	89
20171206_Rachid_Colon_M#20	12_Colon_M#20	B_12	90
20171206_Rachid_Colon_M#22	12_Colon_M#22	B_12	91
20171206_Rachid_Colon_M#23	12_Colon_M#23	B_12	92
20171206_Rachid_Colon_M#24	12_Colon_M#24	B_12	93
20171206_Rachid_Colon_M#30	12_Colon_M#30	B_12	94
20171206_Rachid_Colon_M#32	12_Colon_M#32	B_12	95
20171206_Rachid_Colon_M#33	12_Colon_M#33	B_12	96
20171206_Rachid_Colon_M#34	12_Colon_M#34	B_12	97
20171206_Rachid_Colon_M#35	12_Colon_M#35	B_12	98
20171206_Rachid_Colon_M#36	12_Colon_M#36	B_12	99
20171206_Rachid_Colon_M#37	12_Colon_M#37	B_12	100
20171206_Rachid_Colon_M#38	12_Colon_M#38	B_12	101
20171206_Rachid_Colon_M#39	12_Colon_M#39	B_12	102
20171206_Rachid_Colon_M#40	12_Colon_M#40	B_12	103
20171206_Rachid_Colon_M#41	12_Colon_M#41	B_12	104
20171206_Rachid_Colon_M#42	12_Colon_M#42	B_12	105
